Epoch: [0][0/40], lr: 0.00200	Loss 3.0046 (3.0046)	Prec@1 5.469 (5.469)	Prec@5 38.281 (38.281)
Epoch: [0][10/40], lr: 0.00200	Loss 2.3059 (2.5395)	Prec@1 25.000 (16.051)	Prec@5 62.500 (57.386)
Epoch: [0][20/40], lr: 0.00200	Loss 2.2205 (2.3701)	Prec@1 28.125 (20.722)	Prec@5 71.094 (63.728)
Epoch: [0][30/40], lr: 0.00200	Loss 1.8863 (2.2284)	Prec@1 41.406 (26.815)	Prec@5 80.469 (68.322)
Epoch [0] Training Results: Prec@1 29.500 Prec@5 69.920             Loss 2.16189
Epoch [0] Training Class Recall: [0.624,0.007,0.000,0.045,0.034,0.416,0.412,0.175,0.223,0.376]

Epoch: [1][0/40], lr: 0.00400	Loss 1.7926 (1.7926)	Prec@1 45.312 (45.312)	Prec@5 85.938 (85.938)
Epoch: [1][10/40], lr: 0.00400	Loss 2.1095 (2.0052)	Prec@1 31.250 (37.003)	Prec@5 75.781 (76.776)
Epoch: [1][20/40], lr: 0.00400	Loss 2.0195 (1.9745)	Prec@1 41.406 (38.244)	Prec@5 73.438 (77.679)
Epoch: [1][30/40], lr: 0.00400	Loss 1.8728 (1.9170)	Prec@1 43.750 (40.045)	Prec@5 81.250 (78.604)
Epoch [1] Training Results: Prec@1 41.180 Prec@5 78.900             Loss 1.89509
Epoch [1] Training Class Recall: [0.735,0.034,0.007,0.081,0.129,0.566,0.461,0.265,0.535,0.538]

Epoch: [2][0/40], lr: 0.00600	Loss 1.6532 (1.6532)	Prec@1 49.219 (49.219)	Prec@5 85.156 (85.156)
Epoch: [2][10/40], lr: 0.00600	Loss 1.9787 (2.2042)	Prec@1 34.375 (34.730)	Prec@5 82.812 (76.420)
Epoch: [2][20/40], lr: 0.00600	Loss 1.8278 (2.0682)	Prec@1 42.188 (38.132)	Prec@5 82.812 (77.381)
Epoch: [2][30/40], lr: 0.00600	Loss 1.7254 (1.9576)	Prec@1 52.344 (41.835)	Prec@5 80.469 (78.427)
Epoch [2] Training Results: Prec@1 43.660 Prec@5 79.120             Loss 1.90447
Epoch [2] Training Class Recall: [0.711,0.059,0.015,0.125,0.054,0.513,0.519,0.420,0.503,0.669]

Epoch: [3][0/40], lr: 0.00800	Loss 1.7894 (1.7894)	Prec@1 46.875 (46.875)	Prec@5 75.000 (75.000)
Epoch: [3][10/40], lr: 0.00800	Loss 1.6802 (1.7562)	Prec@1 46.094 (47.443)	Prec@5 83.594 (81.534)
Epoch: [3][20/40], lr: 0.00800	Loss 1.6801 (1.7380)	Prec@1 54.688 (48.475)	Prec@5 85.156 (81.399)
Epoch: [3][30/40], lr: 0.00800	Loss 1.6536 (1.7282)	Prec@1 47.656 (48.438)	Prec@5 81.250 (81.981)
Epoch [3] Training Results: Prec@1 49.160 Prec@5 82.200             Loss 1.71080
Epoch [3] Training Class Recall: [0.763,0.114,0.004,0.049,0.120,0.617,0.558,0.532,0.627,0.703]

Epoch: [4][0/40], lr: 0.01000	Loss 1.7298 (1.7298)	Prec@1 46.875 (46.875)	Prec@5 82.031 (82.031)
Epoch: [4][10/40], lr: 0.01000	Loss 1.8458 (1.8674)	Prec@1 42.969 (41.477)	Prec@5 76.562 (78.125)
Epoch: [4][20/40], lr: 0.01000	Loss 1.5381 (1.7777)	Prec@1 59.375 (46.057)	Prec@5 82.031 (80.134)
Epoch: [4][30/40], lr: 0.01000	Loss 1.9135 (1.7347)	Prec@1 45.312 (48.337)	Prec@5 78.906 (81.099)
Epoch [4] Training Results: Prec@1 49.360 Prec@5 81.000             Loss 1.71475
Epoch [4] Training Class Recall: [0.749,0.114,0.004,0.063,0.069,0.652,0.601,0.454,0.704,0.687]

Epoch: [5][0/40], lr: 0.01000	Loss 1.5812 (1.5812)	Prec@1 50.781 (50.781)	Prec@5 85.156 (85.156)
Epoch: [5][10/40], lr: 0.01000	Loss 1.5181 (1.5870)	Prec@1 57.812 (52.699)	Prec@5 85.938 (83.665)
Epoch: [5][20/40], lr: 0.01000	Loss 1.6241 (1.5905)	Prec@1 54.688 (53.795)	Prec@5 88.281 (83.259)
Epoch: [5][30/40], lr: 0.01000	Loss 1.6206 (1.5813)	Prec@1 49.219 (54.032)	Prec@5 85.156 (83.947)
Epoch [5] Training Results: Prec@1 54.900 Prec@5 84.000             Loss 1.57151
Epoch [5] Training Class Recall: [0.819,0.190,0.007,0.081,0.109,0.688,0.591,0.631,0.738,0.761]

Epoch: [6][0/40], lr: 0.01000	Loss 1.3470 (1.3470)	Prec@1 58.594 (58.594)	Prec@5 91.406 (91.406)
Epoch: [6][10/40], lr: 0.01000	Loss 1.3990 (1.5733)	Prec@1 60.156 (53.409)	Prec@5 88.281 (86.009)
Epoch: [6][20/40], lr: 0.01000	Loss 1.2993 (1.5452)	Prec@1 64.062 (54.688)	Prec@5 89.062 (85.268)
Epoch: [6][30/40], lr: 0.01000	Loss 1.4618 (1.5206)	Prec@1 62.500 (55.973)	Prec@5 85.156 (85.635)
Epoch [6] Training Results: Prec@1 56.360 Prec@5 85.680             Loss 1.50824
Epoch [6] Training Class Recall: [0.809,0.214,0.011,0.116,0.137,0.673,0.681,0.646,0.740,0.767]

Epoch: [7][0/40], lr: 0.01000	Loss 1.5611 (1.5611)	Prec@1 57.031 (57.031)	Prec@5 82.031 (82.031)
Epoch: [7][10/40], lr: 0.01000	Loss 1.3852 (1.5504)	Prec@1 59.375 (55.114)	Prec@5 84.375 (84.943)
Epoch: [7][20/40], lr: 0.01000	Loss 1.5144 (1.5134)	Prec@1 56.250 (57.106)	Prec@5 84.375 (85.119)
Epoch: [7][30/40], lr: 0.01000	Loss 1.4227 (1.4889)	Prec@1 64.062 (58.443)	Prec@5 84.375 (85.459)
Epoch [7] Training Results: Prec@1 59.080 Prec@5 85.900             Loss 1.46998
Epoch [7] Training Class Recall: [0.823,0.286,0.004,0.105,0.134,0.732,0.728,0.688,0.753,0.801]

Epoch: [8][0/40], lr: 0.01000	Loss 1.5374 (1.5374)	Prec@1 60.156 (60.156)	Prec@5 83.594 (83.594)
Epoch: [8][10/40], lr: 0.01000	Loss 1.5060 (1.5750)	Prec@1 54.688 (54.688)	Prec@5 82.812 (84.020)
Epoch: [8][20/40], lr: 0.01000	Loss 1.3243 (1.4872)	Prec@1 66.406 (58.110)	Prec@5 86.719 (84.859)
Epoch: [8][30/40], lr: 0.01000	Loss 1.4643 (1.4519)	Prec@1 60.156 (59.501)	Prec@5 82.812 (85.408)
Epoch [8] Training Results: Prec@1 60.440 Prec@5 85.720             Loss 1.43700
Epoch [8] Training Class Recall: [0.827,0.359,0.026,0.181,0.189,0.714,0.700,0.709,0.759,0.795]

Epoch: [9][0/40], lr: 0.01000	Loss 1.2057 (1.2057)	Prec@1 67.969 (67.969)	Prec@5 91.406 (91.406)
Epoch: [9][10/40], lr: 0.01000	Loss 1.4159 (1.4580)	Prec@1 60.938 (60.582)	Prec@5 86.719 (86.861)
Epoch: [9][20/40], lr: 0.01000	Loss 1.3371 (1.4459)	Prec@1 60.938 (60.231)	Prec@5 83.594 (85.677)
