Epoch: [1][150/282], lr: 0.00400	Loss 2.0421 (2.0317)	Prec@1 32.031 (29.170)	Prec@5 75.781 (76.847)
Epoch: [1][160/282], lr: 0.00400	Loss 1.9164 (2.0286)	Prec@1 30.469 (29.328)	Prec@5 81.250 (76.990)
Epoch: [1][170/282], lr: 0.00400	Loss 2.0239 (2.0267)	Prec@1 25.000 (29.368)	Prec@5 76.562 (77.019)
Epoch: [1][180/282], lr: 0.00400	Loss 1.9071 (2.0217)	Prec@1 36.719 (29.601)	Prec@5 83.594 (77.141)
Epoch: [1][190/282], lr: 0.00400	Loss 2.0604 (2.0186)	Prec@1 25.781 (29.765)	Prec@5 74.219 (77.164)
Epoch: [1][200/282], lr: 0.00400	Loss 2.0443 (2.0131)	Prec@1 30.469 (30.100)	Prec@5 75.781 (77.212)
Epoch: [1][210/282], lr: 0.00400	Loss 1.9098 (2.0087)	Prec@1 36.719 (30.421)	Prec@5 74.219 (77.240)
Epoch: [1][220/282], lr: 0.00400	Loss 1.8106 (2.0055)	Prec@1 34.375 (30.547)	Prec@5 80.469 (77.330)
Epoch: [1][230/282], lr: 0.00400	Loss 1.8337 (2.0020)	Prec@1 37.500 (30.736)	Prec@5 82.031 (77.337)
Epoch: [1][240/282], lr: 0.00400	Loss 1.8709 (1.9975)	Prec@1 36.719 (30.903)	Prec@5 78.906 (77.467)
Epoch: [1][250/282], lr: 0.00400	Loss 1.8529 (1.9926)	Prec@1 41.406 (31.091)	Prec@5 82.031 (77.615)
Epoch: [1][260/282], lr: 0.00400	Loss 1.9310 (1.9890)	Prec@1 32.812 (31.298)	Prec@5 81.250 (77.727)
Epoch: [1][270/282], lr: 0.00400	Loss 1.7863 (1.9856)	Prec@1 36.719 (31.498)	Prec@5 83.594 (77.799)
Epoch: [1][280/282], lr: 0.00400	Loss 1.8840 (1.9827)	Prec@1 40.625 (31.611)	Prec@5 76.562 (77.864)
Epoch [1] Training Results: Prec@1 31.614 Prec@5 77.869             Loss 1.98262
Epoch [1] Training Class Recall: [0.315,0.415,0.143,0.203,0.238,0.295,0.404,0.375,0.416,0.360]

Epoch: [2][0/282], lr: 0.00600	Loss 2.0259 (2.0259)	Prec@1 26.562 (26.562)	Prec@5 76.562 (76.562)
Epoch: [2][10/282], lr: 0.00600	Loss 1.8744 (2.0067)	Prec@1 35.938 (33.239)	Prec@5 84.375 (76.136)
Epoch: [2][20/282], lr: 0.00600	Loss 1.9208 (1.9494)	Prec@1 32.812 (33.408)	Prec@5 85.156 (79.055)
Epoch: [2][30/282], lr: 0.00600	Loss 1.9988 (1.9442)	Prec@1 32.812 (34.375)	Prec@5 77.344 (79.108)
Epoch: [2][40/282], lr: 0.00600	Loss 1.9274 (1.9423)	Prec@1 30.469 (33.937)	Prec@5 82.031 (79.345)
Epoch: [2][50/282], lr: 0.00600	Loss 1.7455 (1.9266)	Prec@1 42.188 (34.589)	Prec@5 80.469 (79.504)
Epoch: [2][60/282], lr: 0.00600	Loss 1.8667 (1.9186)	Prec@1 38.281 (35.310)	Prec@5 81.250 (79.636)
Epoch: [2][70/282], lr: 0.00600	Loss 1.7800 (1.9136)	Prec@1 37.500 (35.376)	Prec@5 85.156 (79.919)
Epoch: [2][80/282], lr: 0.00600	Loss 1.7781 (1.9130)	Prec@1 36.719 (35.233)	Prec@5 86.719 (80.131)
Epoch: [2][90/282], lr: 0.00600	Loss 1.8377 (1.9097)	Prec@1 35.156 (35.448)	Prec@5 84.375 (80.074)
Epoch: [2][100/282], lr: 0.00600	Loss 1.8315 (1.9048)	Prec@1 42.188 (35.791)	Prec@5 82.031 (80.128)
Epoch: [2][110/282], lr: 0.00600	Loss 1.9297 (1.9021)	Prec@1 35.156 (36.106)	Prec@5 77.344 (80.068)
Epoch: [2][120/282], lr: 0.00600	Loss 1.8510 (1.8999)	Prec@1 39.844 (36.260)	Prec@5 80.469 (80.133)
Epoch: [2][130/282], lr: 0.00600	Loss 1.7995 (1.8973)	Prec@1 39.844 (36.456)	Prec@5 82.031 (80.069)
Epoch: [2][140/282], lr: 0.00600	Loss 1.9037 (1.8938)	Prec@1 33.594 (36.558)	Prec@5 82.812 (80.192)
Epoch: [2][150/282], lr: 0.00600	Loss 2.0196 (1.8940)	Prec@1 29.688 (36.569)	Prec@5 78.906 (80.138)
Epoch: [2][160/282], lr: 0.00600	Loss 1.9712 (1.8935)	Prec@1 39.062 (36.641)	Prec@5 76.562 (80.090)
Epoch: [2][170/282], lr: 0.00600	Loss 1.7726 (1.8891)	Prec@1 42.969 (36.938)	Prec@5 82.812 (80.112)
Epoch: [2][180/282], lr: 0.00600	Loss 1.7413 (1.8830)	Prec@1 37.500 (37.146)	Prec@5 84.375 (80.331)
Epoch: [2][190/282], lr: 0.00600	Loss 2.0441 (1.8780)	Prec@1 30.469 (37.426)	Prec@5 81.250 (80.428)
Epoch: [2][200/282], lr: 0.00600	Loss 1.8162 (1.8801)	Prec@1 39.062 (37.337)	Prec@5 80.469 (80.364)
Epoch: [2][210/282], lr: 0.00600	Loss 1.8438 (1.8790)	Prec@1 41.406 (37.493)	Prec@5 82.031 (80.387)
Epoch: [2][220/282], lr: 0.00600	Loss 1.6954 (1.8759)	Prec@1 44.531 (37.603)	Prec@5 85.156 (80.451)
Epoch: [2][230/282], lr: 0.00600	Loss 1.7619 (1.8751)	Prec@1 44.531 (37.672)	Prec@5 85.156 (80.404)
Epoch: [2][240/282], lr: 0.00600	Loss 2.0093 (1.8745)	Prec@1 37.500 (37.733)	Prec@5 75.000 (80.404)
Epoch: [2][250/282], lr: 0.00600	Loss 1.6717 (1.8707)	Prec@1 42.969 (37.886)	Prec@5 87.500 (80.487)
Epoch: [2][260/282], lr: 0.00600	Loss 1.8740 (1.8705)	Prec@1 38.281 (37.904)	Prec@5 82.812 (80.460)
Epoch: [2][270/282], lr: 0.00600	Loss 1.8355 (1.8678)	Prec@1 38.281 (38.022)	Prec@5 86.719 (80.535)
Epoch: [2][280/282], lr: 0.00600	Loss 1.6184 (1.8641)	Prec@1 46.875 (38.206)	Prec@5 84.375 (80.616)
Epoch [2] Training Results: Prec@1 38.206 Prec@5 80.617             Loss 1.86394
Epoch [2] Training Class Recall: [0.410,0.500,0.228,0.213,0.283,0.332,0.478,0.436,0.489,0.454]

Epoch: [3][0/282], lr: 0.00800	Loss 1.7564 (1.7564)	Prec@1 46.875 (46.875)	Prec@5 79.688 (79.688)
Epoch: [3][10/282], lr: 0.00800	Loss 1.8474 (1.7869)	Prec@1 42.188 (42.614)	Prec@5 82.812 (82.315)
Epoch: [3][20/282], lr: 0.00800	Loss 1.9290 (1.7893)	Prec@1 35.156 (42.374)	Prec@5 77.344 (81.771)
Epoch: [3][30/282], lr: 0.00800	Loss 1.7821 (1.7948)	Prec@1 42.188 (42.213)	Prec@5 84.375 (82.031)
Epoch: [3][40/282], lr: 0.00800	Loss 1.9319 (1.8040)	Prec@1 39.844 (41.559)	Prec@5 76.562 (81.784)
Epoch: [3][50/282], lr: 0.00800	Loss 1.7839 (1.7990)	Prec@1 43.750 (41.973)	Prec@5 80.469 (81.694)
Epoch: [3][60/282], lr: 0.00800	Loss 1.8661 (1.7959)	Prec@1 39.062 (42.175)	Prec@5 78.906 (81.609)
Epoch: [3][70/282], lr: 0.00800	Loss 1.8901 (1.7927)	Prec@1 39.844 (42.276)	Prec@5 78.125 (81.624)
Epoch: [3][80/282], lr: 0.00800	Loss 1.8540 (1.7965)	Prec@1 40.625 (41.946)	Prec@5 79.688 (81.713)
Epoch: [3][90/282], lr: 0.00800	Loss 1.8938 (1.7977)	Prec@1 40.625 (41.921)	Prec@5 76.562 (81.611)
Epoch: [3][100/282], lr: 0.00800	Loss 1.7877 (1.8010)	Prec@1 42.969 (41.909)	Prec@5 76.562 (81.343)
Epoch: [3][110/282], lr: 0.00800	Loss 1.7779 (1.8002)	Prec@1 44.531 (41.885)	Prec@5 82.031 (81.454)
Epoch: [3][120/282], lr: 0.00800	Loss 1.7544 (1.8005)	Prec@1 42.969 (41.703)	Prec@5 84.375 (81.476)
Epoch: [3][130/282], lr: 0.00800	Loss 1.7724 (1.7983)	Prec@1 46.094 (41.919)	Prec@5 83.594 (81.560)
Epoch: [3][140/282], lr: 0.00800	Loss 1.6584 (1.7959)	Prec@1 46.875 (41.927)	Prec@5 82.812 (81.699)
Epoch: [3][150/282], lr: 0.00800	Loss 1.8584 (1.7903)	Prec@1 38.281 (42.156)	Prec@5 82.812 (81.809)
Epoch: [3][160/282], lr: 0.00800	Loss 1.7239 (1.7877)	Prec@1 45.312 (42.294)	Prec@5 84.375 (81.866)
Epoch: [3][170/282], lr: 0.00800	Loss 1.6896 (1.7874)	Prec@1 43.750 (42.325)	Prec@5 82.031 (81.826)
Epoch: [3][180/282], lr: 0.00800	Loss 1.7406 (1.7846)	Prec@1 46.875 (42.541)	Prec@5 78.906 (81.802)
Epoch: [3][190/282], lr: 0.00800	Loss 1.8253 (1.7812)	Prec@1 42.188 (42.682)	Prec@5 80.469 (81.884)
Epoch: [3][200/282], lr: 0.00800	Loss 1.6618 (1.7778)	Prec@1 50.781 (42.856)	Prec@5 82.812 (81.911)
Epoch: [3][210/282], lr: 0.00800	Loss 1.7845 (1.7771)	Prec@1 40.625 (42.861)	Prec@5 80.469 (81.939)
Epoch: [3][220/282], lr: 0.00800	Loss 1.8375 (1.7759)	Prec@1 42.188 (42.955)	Prec@5 81.250 (81.953)
Epoch: [3][230/282], lr: 0.00800	Loss 1.6495 (1.7733)	Prec@1 49.219 (43.091)	Prec@5 89.844 (82.001)
Epoch: [3][240/282], lr: 0.00800	Loss 1.6557 (1.7723)	Prec@1 48.438 (43.166)	Prec@5 86.719 (82.018)
Epoch: [3][250/282], lr: 0.00800	Loss 1.6772 (1.7705)	Prec@1 55.469 (43.302)	Prec@5 78.906 (82.009)
Epoch: [3][260/282], lr: 0.00800	Loss 1.8605 (1.7677)	Prec@1 38.281 (43.448)	Prec@5 82.812 (82.058)
Epoch: [3][270/282], lr: 0.00800	Loss 1.8360 (1.7661)	Prec@1 40.625 (43.519)	Prec@5 82.031 (82.100)
Epoch: [3][280/282], lr: 0.00800	Loss 1.8326 (1.7667)	Prec@1 39.062 (43.475)	Prec@5 84.375 (82.109)
Epoch [3] Training Results: Prec@1 43.472 Prec@5 82.094             Loss 1.76697
Epoch [3] Training Class Recall: [0.456,0.557,0.317,0.249,0.343,0.348,0.525,0.474,0.547,0.533]

Epoch: [4][0/282], lr: 0.01000	Loss 1.7516 (1.7516)	Prec@1 46.094 (46.094)	Prec@5 80.469 (80.469)
Epoch: [4][10/282], lr: 0.01000	Loss 1.7386 (1.6872)	Prec@1 42.188 (47.585)	Prec@5 78.906 (83.878)
Epoch: [4][20/282], lr: 0.01000	Loss 1.7536 (1.7232)	Prec@1 45.312 (45.982)	Prec@5 79.688 (83.519)
Epoch: [4][30/282], lr: 0.01000	Loss 1.7987 (1.7315)	Prec@1 42.969 (45.514)	Prec@5 78.906 (83.191)
Epoch: [4][40/282], lr: 0.01000	Loss 1.7137 (1.7276)	Prec@1 50.781 (45.408)	Prec@5 84.375 (83.327)
