Epoch: [0][0/40], lr: 0.00200	Loss 2.9024 (2.9024)	Prec@1 9.375 (9.375)	Prec@5 40.625 (40.625)
Epoch: [0][10/40], lr: 0.00200	Loss 2.5285 (2.5396)	Prec@1 27.344 (18.395)	Prec@5 61.719 (57.955)
Epoch: [0][20/40], lr: 0.00200	Loss 1.7368 (2.3130)	Prec@1 42.188 (23.103)	Prec@5 75.781 (62.649)
Epoch: [0][30/40], lr: 0.00200	Loss 1.9202 (2.1895)	Prec@1 35.156 (26.739)	Prec@5 72.656 (66.053)
Epoch [0] Training Results: Prec@1 27.500 Prec@5 67.880             Loss 2.13620
Epoch [0] Training Class Recall: [0.759,0.026,0.016,0.044,0.116,0.241,0.135,0.107,0.142,0.265]

Epoch: [1][0/40], lr: 0.00400	Loss 1.8509 (1.8509)	Prec@1 35.156 (35.156)	Prec@5 78.906 (78.906)
Epoch: [1][10/40], lr: 0.00400	Loss 1.7658 (1.9199)	Prec@1 40.625 (33.239)	Prec@5 78.906 (75.071)
Epoch: [1][20/40], lr: 0.00400	Loss 1.8172 (1.8604)	Prec@1 39.062 (36.049)	Prec@5 82.031 (77.269)
Epoch: [1][30/40], lr: 0.00400	Loss 1.7919 (1.8336)	Prec@1 39.844 (36.568)	Prec@5 82.031 (78.402)
Epoch [1] Training Results: Prec@1 37.840 Prec@5 79.480             Loss 1.79709
Epoch [1] Training Class Recall: [0.835,0.125,0.026,0.219,0.098,0.473,0.120,0.218,0.245,0.446]

Epoch: [2][0/40], lr: 0.00600	Loss 1.8324 (1.8324)	Prec@1 38.281 (38.281)	Prec@5 83.594 (83.594)
Epoch: [2][10/40], lr: 0.00600	Loss 1.8256 (1.8683)	Prec@1 36.719 (36.506)	Prec@5 82.031 (80.043)
Epoch: [2][20/40], lr: 0.00600	Loss 1.8379 (1.8216)	Prec@1 41.406 (38.318)	Prec@5 82.812 (81.473)
Epoch: [2][30/40], lr: 0.00600	Loss 1.6434 (1.7807)	Prec@1 46.875 (39.567)	Prec@5 83.594 (82.359)
Epoch [2] Training Results: Prec@1 40.160 Prec@5 82.780             Loss 1.76191
Epoch [2] Training Class Recall: [0.812,0.193,0.035,0.190,0.130,0.564,0.166,0.263,0.294,0.453]

Epoch: [3][0/40], lr: 0.00800	Loss 2.2427 (2.2427)	Prec@1 23.438 (23.438)	Prec@5 73.438 (73.438)
Epoch: [3][10/40], lr: 0.00800	Loss 1.7616 (1.9531)	Prec@1 35.938 (37.216)	Prec@5 84.375 (80.611)
Epoch: [3][20/40], lr: 0.00800	Loss 1.8500 (1.8825)	Prec@1 33.594 (38.207)	Prec@5 76.562 (81.064)
Epoch: [3][30/40], lr: 0.00800	Loss 1.5729 (1.7989)	Prec@1 46.875 (39.894)	Prec@5 89.844 (82.661)
Epoch [3] Training Results: Prec@1 41.300 Prec@5 83.520             Loss 1.74455
Epoch [3] Training Class Recall: [0.783,0.122,0.032,0.214,0.084,0.529,0.109,0.325,0.486,0.496]

Epoch: [4][0/40], lr: 0.01000	Loss 1.5600 (1.5600)	Prec@1 44.531 (44.531)	Prec@5 93.750 (93.750)
Epoch: [4][10/40], lr: 0.01000	Loss 1.7497 (1.6744)	Prec@1 40.625 (44.460)	Prec@5 84.375 (84.517)
Epoch: [4][20/40], lr: 0.01000	Loss 1.6999 (1.6639)	Prec@1 37.500 (43.936)	Prec@5 81.250 (84.821)
Epoch: [4][30/40], lr: 0.01000	Loss 1.5678 (1.6378)	Prec@1 41.406 (44.960)	Prec@5 88.281 (85.635)
Epoch [4] Training Results: Prec@1 45.300 Prec@5 86.220             Loss 1.61681
Epoch [4] Training Class Recall: [0.804,0.222,0.113,0.234,0.139,0.589,0.112,0.390,0.535,0.496]

Epoch: [5][0/40], lr: 0.01000	Loss 1.5595 (1.5595)	Prec@1 43.750 (43.750)	Prec@5 91.406 (91.406)
Epoch: [5][10/40], lr: 0.01000	Loss 1.2741 (1.4756)	Prec@1 53.125 (50.852)	Prec@5 92.969 (89.418)
Epoch: [5][20/40], lr: 0.01000	Loss 1.3317 (1.4091)	Prec@1 50.781 (51.897)	Prec@5 91.406 (90.030)
Epoch: [5][30/40], lr: 0.01000	Loss 1.1372 (1.3650)	Prec@1 61.719 (53.730)	Prec@5 95.312 (90.524)
Epoch [5] Training Results: Prec@1 54.660 Prec@5 91.140             Loss 1.33341
Epoch [5] Training Class Recall: [0.839,0.256,0.193,0.283,0.107,0.708,0.284,0.585,0.726,0.608]

Epoch: [6][0/40], lr: 0.01000	Loss 1.7213 (1.7213)	Prec@1 47.656 (47.656)	Prec@5 94.531 (94.531)
